Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,1,1,1,BudgetedLNS,0.1,70.5555555555556,0,0,140,40,1.7215648,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,2,1,1,BudgetedLNS,0.1,68.8888888888889,5,7.6316,140,40,1.2622915,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,3,1,1,BudgetedLNS,0.1,65,2,3.4508,140,40,1.0350327,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,4,1,1,BudgetedLNS,0.1,68.3333333333333,11,15.9932,139,41,0.4103402,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,5,1,1,BudgetedLNS,0.1,67.7777777777778,1,0.73,139,41,0.417684,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,6,1,1,BudgetedLNS,0.1,65.5555555555556,0,0,139,41,0.7527132,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,7,1,1,BudgetedLNS,0.1,65,0,0,139,41,0.6725611,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,8,1,1,BudgetedLNS,0.1,63.8888888888889,2,3.4508,139,41,0.7895516,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,9,1,1,BudgetedLNS,0.1,62.7777777777778,3,4.1808,139,41,0.8595201,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,10,1,1,BudgetedLNS,0.1,62.2222222222222,6,9.357,139,41,2.5936956,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,11,1,1,BudgetedLNS,0.1,62.7777777777778,6,8.3616,139,41,0.7974511,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,12,1,1,BudgetedLNS,0.1,63.8888888888889,5,8.627,139,41,1.024308,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,13,1,1,BudgetedLNS,0.1,66.1111111111111,0,0,139,41,0.7458082,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,14,1,1,BudgetedLNS,0.1,67.7777777777778,3,4.1808,139,41,0.6768712,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,15,1,1,BudgetedLNS,0.1,70.5555555555556,1,0.73,139,41,0.5760509,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,16,1,1,BudgetedLNS,0.1,71.1111111111111,1,0.73,139,41,0.6470919,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,17,1,1,BudgetedLNS,0.1,71.1111111111111,0,0,139,41,0.5273765,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,18,1,1,BudgetedLNS,0.1,68.3333333333333,2,2.4554,140,40,0.5760917,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,19,1,1,BudgetedLNS,0.1,69.4444444444444,0,0,140,40,0.5066591,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,20,1,1,BudgetedLNS,0.1,69.4444444444444,0,0,140,40,0.5145101,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,21,1,1,BudgetedLNS,0.1,70.5555555555556,3,3.1854,139,41,0.5498396,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,22,1,1,BudgetedLNS,0.1,70.5555555555556,5,7.6316,139,41,0.6590741,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,23,1,1,BudgetedLNS,0.1,68.8888888888889,0,0,139,41,0.6925522,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,24,1,1,BudgetedLNS,0.1,67.7777777777778,3,4.1808,139,41,0.6087111,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,25,1,1,BudgetedLNS,0.1,67.2222222222222,2,3.4508,139,41,0.5962937,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,26,1,1,BudgetedLNS,0.1,64.4444444444444,7,9.0916,139,41,0.5031162,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,27,1,1,BudgetedLNS,0.1,65,2,3.4508,139,41,0.4813598,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,28,1,1,BudgetedLNS,0.1,64.4444444444444,2,3.4508,139,41,0.5645415,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,29,1,1,BudgetedLNS,0.1,64.4444444444444,3,4.1808,139,41,0.4478441,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,30,1,1,BudgetedLNS,0.1,61.6666666666667,5,6.6362,139,41,1.8593042,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,31,1,1,BudgetedLNS,0.1,60.5555555555556,1,0.73,139,41,0.3893965,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,32,1,1,BudgetedLNS,0.1,62.7777777777778,5,8.627,139,41,0.6715676,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,33,1,1,BudgetedLNS,0.1,66.6666666666667,5,5.6408,139,41,0.5110194,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,34,1,1,BudgetedLNS,0.1,67.7777777777778,3,4.1808,139,41,0.6023277,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,35,1,1,BudgetedLNS,0.1,70,1,0.73,139,41,0.5160748,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,36,1,1,BudgetedLNS,0.1,70.5555555555556,0,0,139,41,0.5112685,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,37,1,1,BudgetedLNS,0.1,71.6666666666667,1,0.73,139,41,0.5841109,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,38,1,1,BudgetedLNS,0.1,68.8888888888889,3,4.1808,140,40,0.611378,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,39,1,1,BudgetedLNS,0.1,70,0,0,140,40,0.4511778,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,40,1,1,BudgetedLNS,0.1,69.4444444444444,0,0,140,40,0.5464687,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,41,1,1,BudgetedLNS,0.1,70,2,1.46,139,41,0.4656147,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,42,1,1,BudgetedLNS,0.1,71.6666666666667,2,1.46,139,41,0.4509005,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,43,1,1,BudgetedLNS,0.1,71.6666666666667,1,0.73,139,41,0.5235432,1,18,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,44,1,1,BudgetedLNS,0.1,69.4444444444444,1,0.73,139,41,0.607211,1,18,0,0,0
