Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,FORMAL,compute_hotspot,24,2026074124,180,200,1,BudgetedLNS,0.05,63.7416666666666,,63.7416666666666,59.1666666666666,308,308,505.5428,505.5428,139.465,40.535,139.465,40.535,50.1162928,0,0,21268,301,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,25,2026074125,180,200,1,BudgetedLNS,0.05,65.9944444444444,,65.9944444444444,65.8888888888889,236,236,375.3416,375.3416,139.165,40.835,139.165,40.835,33.3553184,0,0,21460,220,1
paper2_revision_v2_20260731,FORMAL,compute_hotspot,26,2026074126,180,200,1,BudgetedLNS,0.05,61.075,,61.075,61.6388888888889,429,429,638.6658,638.6658,139.56,40.44,139.56,40.44,50.0891154,0,0,21100,422,5
paper2_revision_v2_20260731,FORMAL,compute_hotspot,27,2026074127,180,200,1,BudgetedLNS,0.05,65.0111111111111,,65.0111111111111,62.1388888888889,501,501,751.9452,751.9452,139.115,40.885,139.115,40.885,48.2974052,1,1,21337,454,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,28,2026074128,180,200,1,BudgetedLNS,0.05,56.8805555555556,,56.8805555555556,57.3611111111111,450,450,721.683,721.683,139.575,40.425,139.575,40.425,52.8999245,0,0,21401,417,0
paper2_revision_v2_20260731,FORMAL,compute_hotspot,29,2026074129,180,200,1,BudgetedLNS,0.05,65.7694444444444,,65.7694444444444,62.6111111111111,389,389,583.5854,583.5854,139.14,40.86,139.14,40.86,54.4593372,1,1,21288,381,4
paper2_revision_v2_20260731,FORMAL,compute_hotspot,30,2026074130,180,200,1,BudgetedLNS,0.05,59.8111111111111,,59.8111111111111,58.25,305,305,514.3022,514.3022,139.635,40.365,139.635,40.365,62.3713262,0,0,21430,262,3
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,1,2026076101,180,200,1,BudgetedLNS,0.05,59.3277777777778,,59.3277777777778,57.5,220,220,358.6846,358.6846,140.68,39.32,140.68,39.32,32.3499389,0,0,21504,217,0
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,2,2026076102,180,200,1,BudgetedLNS,0.05,61.9888888888889,,61.9888888888889,59.1388888888889,238,238,304.1374,304.1374,140.595,39.405,140.595,39.405,30.3292631,1,1,21485,222,0
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,3,2026076103,180,200,1,BudgetedLNS,0.05,62.8861111111111,,62.8861111111111,61.1111111111111,142,142,187.2736,187.2736,140.755,39.245,140.755,39.245,30.9796802,0,0,21591,143,0
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,4,2026076104,180,200,1,BudgetedLNS,0.05,60.2388888888889,,60.2388888888889,57.9444444444444,326,326,489.8162,489.8162,140.78,39.22,140.78,39.22,28.2086032,0,0,21443,298,1
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,5,2026076105,180,200,1,BudgetedLNS,0.05,60.4833333333333,,60.4833333333333,61.4722222222222,318,318,469.0452,469.0452,140.8,39.2,140.8,39.2,22.9635774,0,0,21439,297,3
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,6,2026076106,180,200,1,BudgetedLNS,0.05,65.2527777777778,,65.2527777777778,64.8611111111111,366,366,536.9334,536.9334,140.71,39.29,140.71,39.29,21.7194001,1,1,21464,325,1
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,7,2026076107,180,200,1,BudgetedLNS,0.05,61.4472222222223,,61.4472222222223,63.2222222222222,232,232,338.578,338.578,141.0,39.0,141.0,39.0,21.977048,2,2,21523,221,0
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,8,2026076108,180,200,1,BudgetedLNS,0.05,57.8027777777778,,57.8027777777778,57.8333333333333,221,221,358.4192,358.4192,141.0,39.0,141.0,39.0,30.3573454,0,0,21600,195,0
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,9,2026076109,180,200,1,BudgetedLNS,0.05,62.7,,62.7,61.1666666666667,215,215,287.3474,287.3474,141.01,38.99,141.01,38.99,35.9715858,1,2,21460,199,2
paper2_revision_v2_20260731,FORMAL,coupled_hotspot,10,2026076110,180,200,1,BudgetedLNS,0.05,46.6277777777778,,46.6277777777778,37.8888888888889,849,849,1335.4626,1335.4626,140.73,39.27,140.73,39.27,33.6685348,10,5,21146,633,6
