Mode,Scenario,Baseline,Pairs,MeanSatisfactionPrimary,MeanSatisfactionBaseline,PrimaryMinusBaselineSatPP,SatCI95Low,SatCI95High,PSignFlipSatisfaction,MeanMigrationsPrimary,MeanMigrationsBaseline,MigrationReductionPct,PSignFlipMigration,MeanMigrationMBPrimary,MeanMigrationMBBaseline,MigrationMBReductionPct,MeanAdmittedPrimary,MeanRejectedPrimary,MeanAdmittedBaseline,MeanRejectedBaseline,MeanRepairOverridesPrimary,MeanRuntimePrimary,MeanRuntimeBaseline,PHolmSatisfaction,PHolmMigration
Formal,compute_hotspot,BigMECGreedy,30,61.67092592592592,43.23990740740741,18.431018518518503,16.122932870370352,20.77002546296296,9.99990000099999e-06,336.1666666666667,4131.433333333333,91.8631951784288,9.99990000099999e-06,527.8961866666666,6059.779993333333,91.288525536448,139.20999999999998,40.78999999999999,139.726,40.274,0.9,52.78249465999999,0.29932701,2.999970000299997e-05,2.999970000299997e-05
Formal,link_hotspot,BigMECGreedy,30,52.92805555555556,37.434444444444445,15.49361111111111,13.12062268518519,17.85058564814815,9.99990000099999e-06,321.3666666666667,4207.866666666667,92.36271744985582,9.99990000099999e-06,2054.996553333333,9403.812700000002,78.1471981749133,152.89066666666668,27.10933333333333,153.42033333333333,26.579666666666665,0.6,46.25466877000001,0.2386460299999999,2.999970000299997e-05,2.999970000299997e-05
Formal,coupled_hotspot,BigMECGreedy,30,60.160555555555554,40.24249999999999,19.918055555555554,18.09477314814816,21.737331018518518,9.99990000099999e-06,337.0,3831.8,91.20517772326322,9.99990000099999e-06,510.65368000000007,5595.980180000001,90.87463386977186,140.9045,39.0955,141.27550000000002,38.7245,1.3333333333333333,28.912389033333334,0.15851159,2.999970000299997e-05,2.999970000299997e-05
Formal,compute_hotspot,FullResched,30,61.67092592592592,53.12296296296295,8.54796296296296,7.309624999999987,9.748812499999977,9.99990000099999e-06,336.1666666666667,9733.833333333334,96.54641028714278,9.99990000099999e-06,527.8961866666666,14215.442373333331,96.28645966264868,139.20999999999998,40.78999999999999,139.56933333333333,40.43066666666667,0.9,52.78249465999999,7.812251566666668,2.999970000299997e-05,2.999970000299997e-05
Formal,link_hotspot,FullResched,30,52.92805555555556,45.1099074074074,7.8181481481481505,6.231548611111116,9.411678240740748,9.99990000099999e-06,321.3666666666667,8897.8,96.38824578360196,9.99990000099999e-06,2054.996553333333,19415.577066666665,89.41573280939758,152.89066666666668,27.10933333333333,153.2115,26.788500000000003,0.6,46.25466877000001,6.380315103333334,2.999970000299997e-05,2.999970000299997e-05
Formal,coupled_hotspot,FullResched,30,60.160555555555554,51.76638888888888,8.394166666666672,7.268402777777789,9.553905092592611,9.99990000099999e-06,337.0,9620.233333333334,96.4969664630449,9.99990000099999e-06,510.65368000000007,14154.74497333333,96.39234983772552,140.9045,39.0955,141.04283333333333,38.95716666666667,1.3333333333333333,28.912389033333334,4.103551153333333,2.999970000299997e-05,2.999970000299997e-05
Formal,compute_hotspot,HIVE,30,61.67092592592592,47.852407407407405,13.818518518518507,12.3741597222222,15.24538194444442,9.99990000099999e-06,336.1666666666667,10784.133333333331,96.88276603899556,9.99990000099999e-06,527.8961866666666,15234.263013333331,96.53480981518672,139.20999999999998,40.78999999999999,139.70699999999997,40.293000000000006,0.9,52.78249465999999,567.0674304266668,2.999970000299997e-05,2.999970000299997e-05
Formal,link_hotspot,HIVE,30,52.92805555555556,43.28166666666667,9.646388888888874,7.9760879629629455,11.172506944444448,9.99990000099999e-06,321.3666666666667,10248.166666666666,96.864154564231,9.99990000099999e-06,2054.996553333333,20072.27766,89.76201610927032,152.89066666666668,27.10933333333333,153.35983333333334,26.640166666666666,0.6,46.25466877000001,456.3163563166667,2.999970000299997e-05,2.999970000299997e-05
Formal,coupled_hotspot,HIVE,30,60.160555555555554,48.887314814814815,11.273240740740736,10.07365509259259,12.481592592592586,9.99990000099999e-06,337.0,10349.666666666666,96.74385648491096,9.99990000099999e-06,510.65368000000007,14576.476466666669,96.4967275790706,140.9045,39.0955,141.157,38.84299999999999,1.3333333333333333,28.912389033333334,332.19897561333335,2.999970000299997e-05,2.999970000299997e-05
