Scenario,Variant,Pairs,FullMinusVariantPostSatPP,SatCI95Low,SatCI95High,PSignFlipSatisfaction,MeanPostMigrationsFull,MeanPostMigrationsVariant,MeanRepairOverridesFull,MeanRepairOverridesVariant,PHolmSatisfaction
compute_hotspot,LNSColdStart,30,9.91148148148149,8.431108024691373,11.291854938271609,9.99990000099999e-06,206.9333333333333,7336.2,1.1666666666666667,199.0,8.999910000899992e-05
link_hotspot,LNSColdStart,30,9.948148148148146,8.386287037037043,11.57631790123456,9.99990000099999e-06,191.4,6709.666666666667,0.9,199.0,8.999910000899992e-05
coupled_hotspot,LNSColdStart,30,8.768395061728397,7.613817901234582,10.037904320987666,9.99990000099999e-06,255.03333333333333,7262.333333333333,1.3666666666666667,199.0,8.999910000899992e-05
compute_hotspot,LNSGlobalPool,30,-5.430740740740723,-6.7507407407407225,-4.190490740740714,9.99990000099999e-06,206.9333333333333,325.26666666666665,1.1666666666666667,3.733333333333333,8.999910000899992e-05
link_hotspot,LNSGlobalPool,30,-5.053086419753114,-6.135929012345684,-4.0970339506173215,9.99990000099999e-06,191.4,334.4,0.9,2.5,8.999910000899992e-05
coupled_hotspot,LNSGlobalPool,30,-4.015432098765441,-4.66395679012345,-3.3987592592592666,9.99990000099999e-06,255.03333333333333,461.6666666666667,1.3666666666666667,4.466666666666667,8.999910000899992e-05
compute_hotspot,LNSNoGuard,30,0.0633333333333377,-0.334444444444435,0.5212376543209936,0.7936120638793612,206.9333333333333,191.9333333333333,1.1666666666666667,0.0,1.0
link_hotspot,LNSNoGuard,30,0.3287654320987629,0.018743827160484,0.6780277777777657,0.0551894481055189,191.4,191.4,0.9,0.0,0.1655683443165568
coupled_hotspot,LNSNoGuard,30,-0.0177777777777727,-0.3945895061728407,0.3134567901234604,0.9285707142928572,255.03333333333333,261.8666666666667,1.3666666666666667,0.0,1.0
