Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,7,11,0,HIVE,0.05,35,58,146.205,2,0,60,153,27,1.7367499,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,7,11,0,BigMECGreedy,0.05,46.6666666666667,21,70.6812,0,0,21,152,28,0.0011689,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,7,11,0,BudgetedLNS,0.05,58.3333333333333,1,0.73,0,0,1,152,28,0.2296324,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,8,11,0,FullResched,0.05,50.5555555555556,52,75.7852,0,0,52,152,28,0.0226017,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,8,11,0,HIVE,0.05,40.5555555555556,64,138.7706,0,1,65,152,28,1.619849,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,8,11,0,BigMECGreedy,0.05,45.5555555555556,20,70.9466,0,1,21,151,29,0.0007034,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,8,11,0,BudgetedLNS,0.05,57.2222222222222,3,5.1762,0,0,3,152,28,0.2080258,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,9,11,0,FullResched,0.05,51.1111111111111,48,82.6887999999999,0,0,48,152,28,0.016709,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,9,11,0,HIVE,0.05,35.5555555555556,63,127.2216,0,0,63,152,28,1.2719376,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,9,11,0,BigMECGreedy,0.05,47.2222222222222,14,34.9746,0,0,14,151,29,0.0006641,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,9,11,0,BudgetedLNS,0.05,56.6666666666667,0,0,0,0,0,152,28,0.1265769,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,10,11,0,FullResched,0.05,53.8888888888889,62,115.6726,0,0,62,152,28,0.0129093,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,10,11,0,HIVE,0.05,38.8888888888889,50,93.9723999999999,0,0,50,152,28,1.7874215,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,10,11,0,BigMECGreedy,0.05,42.7777777777778,21,46.057,0,0,21,151,29,0.0009778,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,10,11,0,BudgetedLNS,0.05,56.6666666666667,2,3.4508,0,0,2,152,28,0.2111207,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,11,11,1,FullResched,0.05,68.3333333333333,55,78.9706,0,14,69,138,42,0.0160704,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,11,11,1,HIVE,0.05,48.3333333333333,56,75.719,0,14,70,138,42,1.5485836,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,11,11,1,BigMECGreedy,0.05,38.3333333333333,32,50.2358,0,13,45,138,42,0.0003861,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,11,11,1,BudgetedLNS,0.05,62.7777777777778,13,21.4348,0,14,27,138,42,0.1068387,1,9,1,4,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,12,11,1,FullResched,0.05,68.8888888888889,44,65.9636,0,0,44,138,42,0.0107451,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,12,11,1,HIVE,0.05,52.7777777777778,65,87.266,0,0,65,138,42,1.750181,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,12,11,1,BigMECGreedy,0.05,45,13,18.4486,0,0,13,138,42,0.0004345,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,12,11,1,BudgetedLNS,0.05,65.5555555555556,7,10.087,0,0,7,138,42,0.1304778,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,13,11,1,FullResched,0.05,60.5555555555556,43,62.2474,1,0,44,139,41,0.0187941,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,13,11,1,HIVE,0.05,51.6666666666667,61,78.3736,1,0,62,139,41,1.5639167,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,13,11,1,BigMECGreedy,0.05,44.4444444444444,9,15.5286,2,0,11,140,40,0.0003907,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,13,11,1,BudgetedLNS,0.05,65.5555555555556,0,0,0,0,0,138,42,0.070651,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,14,11,1,FullResched,0.05,57.7777777777778,39,55.3458,0,0,39,139,41,0.0107616,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,14,11,1,HIVE,0.05,52.2222222222222,50,68.3528,0,0,50,139,41,1.5486627,0,NaN,0,0,0
