Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,1,1,1,BudgetedLNS,0.01,55.5555555555556,0,0,140,40,0.398672,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,2,1,1,BudgetedLNS,0.01,51.1111111111111,4,6.9016,140,40,0.0474659,1,2,1,2,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,3,1,1,BudgetedLNS,0.01,58.8888888888889,0,0,139,41,0.0321044,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,4,1,1,BudgetedLNS,0.01,57.7777777777778,0,0,139,41,0.0261764,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,5,1,1,BudgetedLNS,0.01,67.7777777777778,0,0,138,42,0.06027,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,6,1,1,BudgetedLNS,0.01,66.6666666666667,2,3.4508,138,42,0.0117031,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,7,1,1,BudgetedLNS,0.01,66.6666666666667,2,3.4508,138,42,0.0176401,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,8,1,1,BudgetedLNS,0.01,65.5555555555556,2,3.4508,138,42,0.0498997,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,9,1,1,BudgetedLNS,0.01,66.6666666666667,2,3.4508,138,42,0.0544664,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,10,1,1,BudgetedLNS,0.01,65,0,0,138,42,0.0455429,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,11,1,1,BudgetedLNS,0.01,65,2,3.4508,138,42,0.0411466,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,12,1,1,BudgetedLNS,0.01,66.6666666666667,3,5.1762,138,42,0.0582807,1,2,1,1,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,13,1,1,BudgetedLNS,0.01,67.2222222222222,0,0,138,42,0.05083,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,14,1,1,BudgetedLNS,0.01,57.2222222222222,0,0,139,41,0.0400622,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,15,1,1,BudgetedLNS,0.01,60.5555555555556,0,0,139,41,0.0381311,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,16,1,1,BudgetedLNS,0.01,53.3333333333333,2,3.4508,140,40,0.0181123,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,17,1,1,BudgetedLNS,0.01,55,2,3.4508,140,40,0.0396068,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,18,1,1,BudgetedLNS,0.01,51.1111111111111,3,5.1762,141,39,0.0124953,1,2,1,1,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,19,1,1,BudgetedLNS,0.01,53.3333333333333,2,3.4508,141,39,0.0090535,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,20,1,1,BudgetedLNS,0.01,52.7777777777778,2,3.4508,141,39,0.0451446,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,21,1,1,BudgetedLNS,0.01,55.5555555555556,3,5.1762,140,40,0.0418542,1,2,1,1,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,22,1,1,BudgetedLNS,0.01,51.6666666666667,0,0,140,40,0.0455628,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,23,1,1,BudgetedLNS,0.01,58.3333333333333,2,3.4508,139,41,0.0442884,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,24,1,1,BudgetedLNS,0.01,56.6666666666667,0,0,139,41,0.038655,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,25,1,1,BudgetedLNS,0.01,67.7777777777778,0,0,138,42,0.0599307,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,26,1,1,BudgetedLNS,0.01,67.7777777777778,2,3.4508,138,42,0.0396544,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,27,1,1,BudgetedLNS,0.01,67.7777777777778,0,0,138,42,0.045759,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,28,1,1,BudgetedLNS,0.01,66.6666666666667,2,3.4508,138,42,0.0416854,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,29,1,1,BudgetedLNS,0.01,66.6666666666667,0,0,138,42,0.0391583,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,30,1,1,BudgetedLNS,0.01,66.6666666666667,0,0,138,42,0.045748,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,31,1,1,BudgetedLNS,0.01,67.2222222222222,0,0,138,42,0.037383,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,32,1,1,BudgetedLNS,0.01,66.1111111111111,0,0,138,42,0.0486259,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,33,1,1,BudgetedLNS,0.01,66.6666666666667,0,0,138,42,0.043316,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,34,1,1,BudgetedLNS,0.01,57.2222222222222,1,1.7254,139,41,0.478025,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,35,1,1,BudgetedLNS,0.01,58.8888888888889,0,0,139,41,0.361752,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,36,1,1,BudgetedLNS,0.01,53.3333333333333,1,1.7254,140,40,0.3491122,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,37,1,1,BudgetedLNS,0.01,53.8888888888889,0,0,140,40,0.0440159,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,38,1,1,BudgetedLNS,0.01,50.5555555555556,2,3.4508,141,39,0.0180519,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,39,1,1,BudgetedLNS,0.01,51.1111111111111,0,0,141,39,0.036136,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,40,1,1,BudgetedLNS,0.01,52.2222222222222,0,0,141,39,0.0380289,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,41,1,1,BudgetedLNS,0.01,55,0,0,140,40,0.0228864,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,42,1,1,BudgetedLNS,0.01,51.1111111111111,5,8.627,140,40,0.0203103,1,2,1,3,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,43,1,1,BudgetedLNS,0.01,59.4444444444444,2,3.4508,139,41,0.0393425,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,44,1,1,BudgetedLNS,0.01,57.7777777777778,0,0,139,41,0.0389902,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,45,1,1,BudgetedLNS,0.01,67.7777777777778,1,1.7254,138,42,0.0462132,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,46,1,1,BudgetedLNS,0.01,67.7777777777778,0,0,138,42,0.059259,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,47,1,1,BudgetedLNS,0.01,67.2222222222222,0,0,138,42,0.0599423,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,48,1,1,BudgetedLNS,0.01,66.6666666666667,0,0,138,42,0.1124864,1,2,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,49,1,1,BudgetedLNS,0.01,66.6666666666667,0,0,138,42,0.0495444,1,2,0,0,0
