Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,29,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.2976291,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,30,1,1,BudgetedLNS,0.05,66.1111111111111,2,3.4508,138,42,0.2995354,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,31,1,1,BudgetedLNS,0.05,67.2222222222222,0,0,138,42,0.2890982,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,32,1,1,BudgetedLNS,0.05,66.6666666666667,0,0,138,42,0.3788531,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,33,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.3128203,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,34,1,1,BudgetedLNS,0.05,66.1111111111111,1,0.73,138,42,0.4999429,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,35,1,1,BudgetedLNS,0.05,57.7777777777778,1,0.73,140,40,0.5431899,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,36,1,1,BudgetedLNS,0.05,60,0,0,140,40,0.4954273,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,37,1,1,BudgetedLNS,0.05,63.3333333333333,2,3.4508,140,40,0.3217225,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,38,1,1,BudgetedLNS,0.05,62.7777777777778,0,0,140,40,0.2387461,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,39,1,1,BudgetedLNS,0.05,62.7777777777778,0,0,140,40,0.1894586,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,40,1,1,BudgetedLNS,0.05,64.4444444444444,2,3.4508,140,40,0.1920169,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,41,1,1,BudgetedLNS,0.05,62.7777777777778,0,0,140,40,0.3870282,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,42,1,1,BudgetedLNS,0.05,60.5555555555556,0,0,140,40,0.2308715,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,43,1,1,BudgetedLNS,0.05,56.6666666666667,0,0,140,40,0.3459041,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,44,1,1,BudgetedLNS,0.05,67.2222222222222,1,0.73,138,42,0.367031,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,45,1,1,BudgetedLNS,0.05,66.6666666666667,2,3.4508,138,42,0.4925795,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,46,1,1,BudgetedLNS,0.05,65.5555555555556,3,4.1808,138,42,0.1763532,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,47,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.1869955,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,48,1,1,BudgetedLNS,0.05,65,0,0,138,42,0.1843821,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,49,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.7378174,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,50,1,1,BudgetedLNS,0.05,66.1111111111111,2,3.4508,138,42,0.7604828,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,51,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.1709677,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,52,1,1,BudgetedLNS,0.05,67.2222222222222,0,0,138,42,0.1683719,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,53,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.1915013,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,54,1,1,BudgetedLNS,0.05,65,1,0.73,138,42,0.1907724,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,55,1,1,BudgetedLNS,0.05,57.7777777777778,2,2.4554,140,40,0.4000358,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,56,1,1,BudgetedLNS,0.05,61.6666666666667,5,8.627,140,40,0.207402,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,57,1,1,BudgetedLNS,0.05,62.2222222222222,0,0,140,40,0.3685378,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,58,1,1,BudgetedLNS,0.05,63.3333333333333,0,0,140,40,0.3865237,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,59,1,1,BudgetedLNS,0.05,62.7777777777778,2,3.4508,140,40,0.5162522,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,60,1,1,BudgetedLNS,0.05,63.3333333333333,0,0,140,40,0.2506078,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,61,1,1,BudgetedLNS,0.05,63.8888888888889,7,12.0778,140,40,0.4681911,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,62,1,1,BudgetedLNS,0.05,59.4444444444444,0,0,140,40,0.289482,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,63,1,1,BudgetedLNS,0.05,57.2222222222222,0,0,140,40,0.3437995,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,64,1,1,BudgetedLNS,0.05,67.2222222222222,5,7.6316,138,42,0.3385673,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,65,1,1,BudgetedLNS,0.05,66.6666666666667,1,0.73,138,42,0.3371275,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,66,1,1,BudgetedLNS,0.05,65,0,0,138,42,0.303331,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,67,1,1,BudgetedLNS,0.05,65.5555555555556,2,3.4508,138,42,0.2801122,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,68,1,1,BudgetedLNS,0.05,65,0,0,138,42,0.2838799,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,69,1,1,BudgetedLNS,0.05,64.4444444444444,0,0,138,42,0.2867133,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,70,1,1,BudgetedLNS,0.05,65,0,0,138,42,0.1931391,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,71,1,1,BudgetedLNS,0.05,66.6666666666667,0,0,138,42,0.2086627,1,9,0,0,0
paper2_revision_v2_20260731,SENSITIVITY,compute_hotspot,1,2026074101,180,72,1,1,BudgetedLNS,0.05,66.1111111111111,0,0,138,42,0.3250693,1,9,0,0,0
