Scenario,BudgetFraction,Pairs,MeanSatisfaction,MeanMigrations,MeanMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,MeanRepairOverrides,MaxBudgetExcess
compute_hotspot,0.01,30,55.83129629629629,200.56666666666666,337.3313866666667,139.51216666666667,40.487833333333334,18.8,7
compute_hotspot,0.05,30,61.670925925925914,336.1666666666667,527.8961866666666,139.21,40.79,0.9,3
compute_hotspot,0.1,30,65.66898148148148,257.8666666666667,357.1288666666667,139.05166666666668,40.94833333333334,0.1,1
coupled_hotspot,0.01,30,55.121574074074076,170.66666666666666,291.1170866666666,140.97966666666667,39.02033333333333,15.966666666666667,6
coupled_hotspot,0.05,30,60.160555555555554,337.0,510.65368,140.9045,39.0955,1.3333333333333333,5
coupled_hotspot,0.1,30,61.95851851851851,399.3,557.06172,140.91533333333334,39.084666666666664,0.03333333333333333,1
link_hotspot,0.01,30,45.76851851851851,199.8,2205.3972733333335,152.99116666666666,27.00883333333333,26.166666666666668,7
link_hotspot,0.05,30,52.92805555555556,321.3666666666667,2054.9965533333334,152.89066666666668,27.109333333333332,0.6,6
link_hotspot,0.1,30,57.74046296296296,233.83333333333334,882.7523666666668,152.77550000000002,27.2245,0.0,0
